2023-05-01 10:19:35,466 | WARN  | Connection attempt from non AMQP v1.0 client. ,22,3,1,0,123,1,0,0 | org.apache.activemq.transport.amqp.protocol.AmqpConnection | ActiveMQ Transport: tcp:///3.10.226.211:58950@5672
2023-05-01 10:19:35,467 | WARN  | Transport Connection to: tcp://3.10.226.211:58950 failed: org.apache.activemq.transport.amqp.AmqpProtocolException: Connection from client using unsupported AMQP attempted | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///3.10.226.211:58950@5672
2023-05-01 10:19:38,979 | WARN  | Connection attempt from non AMQP v1.0 client. ,22,3,1,0,123,1,0,0 | org.apache.activemq.transport.amqp.protocol.AmqpConnection | ActiveMQ Transport: tcp:///3.10.226.211:48666@5672
2023-05-01 10:19:38,981 | WARN  | Transport Connection to: tcp://3.10.226.211:48666 failed: org.apache.activemq.transport.amqp.AmqpProtocolException: Connection from client using unsupported AMQP attempted | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///3.10.226.211:48666@5672
2023-05-01 10:19:42,450 | WARN  | Connection attempt from non AMQP v1.0 client. ,22,3,1,0,123,1,0,0 | org.apache.activemq.transport.amqp.protocol.AmqpConnection | ActiveMQ Transport: tcp:///3.10.226.211:48672@5672
2023-05-01 10:19:42,451 | WARN  | Transport Connection to: tcp://3.10.226.211:48672 failed: org.apache.activemq.transport.amqp.AmqpProtocolException: Connection from client using unsupported AMQP attempted | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///3.10.226.211:48672@5672
2023-05-01 10:19:45,974 | WARN  | Connection attempt from non AMQP v1.0 client. ,22,3,1,0,123,1,0,0 | org.apache.activemq.transport.amqp.protocol.AmqpConnection | ActiveMQ Transport: tcp:///3.10.226.211:48682@5672
2023-05-01 10:19:45,975 | WARN  | Transport Connection to: tcp://3.10.226.211:48682 failed: org.apache.activemq.transport.amqp.AmqpProtocolException: Connection from client using unsupported AMQP attempted | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///3.10.226.211:48682@5672
2023-05-01 10:19:49,621 | WARN  | Connection attempt from non AMQP v1.0 client. ,22,3,1,0,123,1,0,0 | org.apache.activemq.transport.amqp.protocol.AmqpConnection | ActiveMQ Transport: tcp:///3.10.226.211:53528@5672
2023-05-01 10:19:49,622 | WARN  | Transport Connection to: tcp://3.10.226.211:53528 failed: org.apache.activemq.transport.amqp.AmqpProtocolException: Connection from client using unsupported AMQP attempted | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///3.10.226.211:53528@5672
2023-05-01 10:19:53,307 | WARN  | Connection attempt from non AMQP v1.0 client. GET,32,47fav | org.apache.activemq.transport.amqp.protocol.AmqpConnection | ActiveMQ Transport: tcp:///3.10.226.211:53530@5672
